Time(s),ValveApt(%),ValveAng(°),ValveArea(m2),Temperature(K),IntakeP(Pa),OutputP(Pa),Massflow(kg/s),ReynoldsD,CD,KV
104.5,12.4,28.68,2.453882088873601e-05,296.15,954924.1645500001,91414.21740000002,0.01841230546232049,73294.1102608826,0.3353062331658335,69.08233092591232
105,12.4,28.68,2.453882088873601e-05,295.85,952869.4098700001,92430,0.01728563240892661,68862.98319293771,0.3153073869958561,69.01280364361163
105.5,12.4,28.68,2.453882088873601e-05,296.15,953896.78721,92430,0.01807993126130689,71971.02383985746,0.3296079877222123,69.06255782432726
106,12.4,28.68,2.453882088873601e-05,295.7499999999999,953383.0985399999,92430,0.01687294030845001,67236.42964535559,0.3075616404538107,68.9853934856699
106.5,12.4,28.68,2.453882088873601e-05,295.95,953383.0985399999,90906.32610000001,0.015157793655867,60370.29308699109,0.2763911829974533,68.85627228536312
107,12.4,28.68,2.453882088873601e-05,296.2499999999999,951842.03253,91922.10870000004,0.01929570381190761,76790.66139860523,0.3525911400458495,69.13026345677265
107.5,12.4,28.68,2.453882088873601e-05,296.65,951328.3438599999,91922.10870000004,0.01803952993865523,71716.81481643009,0.3300376052982709,69.05941315700773
108,12.4,28.68,2.453882088873601e-05,295.65,948759.9005100001,91414.21740000002,0.01417729696320916,56509.39688155182,0.259640554270484,68.76963365214715
108.5,12.4,28.68,2.453882088873601e-05,296.05,952355.7212,91922.10870000004,0.01592134200925651,63394.81624415169,0.2906762037353723,68.91662717052672
109,12.4,28.68,2.453882088873601e-05,296.15,949787.27785,91414.21740000002,0.01433182411791134,57050.88367599696,0.2624082353511268,68.78389486371705
123,13.7,29.59,2.779991568505899e-05,295.85,950300.96652,91922.10870000004,0.0199083658964809,79311.50181235118,0.3214155709209301,69.16118669118123
123.5,13.7,29.59,2.779991568505899e-05,296.05,951328.3438599999,91414.21740000002,0.02176066292989843,86645.53697733516,0.3510596379529284,69.24416638965494
124,13.7,29.59,2.779991568505899e-05,295.2499999999999,943623.0138099999,91414.21740000002,0.0210626212524529,84041.45935666373,0.3421098114544883,69.21295670359055
124.5,13.7,29.59,2.779991568505899e-05,295.2499999999999,948246.21184,90906.32610000001,0.02067821887604313,82507.66466385525,0.3342286286714591,69.19725445743897
125,13.7,29.59,2.779991568505899e-05,295.85,952355.7212,92937.89130000002,0.02023949088098595,80630.64673590963,0.326056496555655,69.17775039430423
125.5,13.7,29.59,2.779991568505899e-05,295.85,947732.5231699999,90398.43479999999,0.01849185523799178,73668.36725062237,0.29935545027509,69.08539740024372
126,13.7,29.59,2.779991568505899e-05,295.7499999999999,947218.8345000001,92430,0.02096164467750128,83529.37436185515,0.3394642850335882,69.20937508866172
126.5,13.7,29.59,2.779991568505899e-05,295.85,947218.8345000001,91414.21740000002,0.0202319052860916,80600.42703197512,0.3277018758658206,69.17599882220436
127,13.7,29.59,2.779991568505899e-05,295.7499999999999,946191.45716,92937.89130000002,0.0223317042103222,88988.8799195397,0.3620444574551328,69.26503837294403
127.5,13.7,29.59,2.779991568505899e-05,296.2499999999999,944650.39115,91922.10870000004,0.02240992249288131,89184.24468444963,0.3642127185899164,69.2672040652219
128,13.7,29.59,2.779991568505899e-05,296.35,946191.45716,90398.43479999999,0.02185327324689596,86946.32021097471,0.3546472704079073,69.24611246029222
128.5,13.7,29.59,2.779991568505899e-05,295.85,946705.1458300001,90398.43479999999,0.02156381622445399,85906.53087551017,0.3494647320826592,69.23479206882737
129,13.7,29.59,2.779991568505899e-05,295.7499999999999,942081.9478,92937.89130000002,0.02161868282604148,86147.58425539186,0.3520137331744377,69.23564195261356
129.5,13.7,29.59,2.779991568505899e-05,295.85,943623.0138099999,91414.21740000002,0.02265735467822595,90262.99978457023,0.3683860262929883,69.27623419032433
130,13.7,29.59,2.779991568505899e-05,295.85,947732.5231699999,90398.43479999999,0.02330210793323912,92831.58573579263,0.3772262394949991,69.30047699603401
130.5,13.7,29.59,2.779991568505899e-05,295.85,940540.88179,92430,0.02380261993026727,94825.53935136378,0.3882751121010175,69.31437840670138
131,13.7,29.59,2.779991568505899e-05,296.05,943109.3251400001,89382.65220000001,0.02294153400682965,91347.47132976378,0.3733357937206417,69.28616180185739
131.5,13.7,29.59,2.779991568505899e-05,296.15,941054.5704600001,92430,0.02330333414615415,92763.8934651454,0.3801156977089518,69.29790209137531
132,13.7,29.59,2.779991568505899e-05,296.05,941568.2591299999,89890.54350000003,0.02223537282258726,88535.71347117548,0.3624364108788614,69.2596656116396
